Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time
idle;39.23;0.80;40.36;0.80;38.17;0.80;;;;0.181;4062;2;8.194;;;0.001;124;0;20.02;
800000-threshold-0;42.94;0.80;44.15;0.80;41.69;0.80;;;;0.152;3455;2;20.812;;;0.001;178;0;24.05;
idle;39.32;0.80;41.38;0.80;37.52;0.80;;;;0.174;3973;2;8.671;;;0.001;124;0;20.02;
800000-threshold-5;42.98;0.80;43.55;0.80;41.18;0.80;;;;0.152;4376;2;21.540;;;0.001;629;0;22.87;
idle;39.17;0.80;40.04;0.80;38.35;0.80;;;;0.203;3721;2;8.090;;;0.001;104;0;20.02;
800000-threshold-10;42.99;0.80;44.33;0.80;41.20;0.80;;;;0.149;4178;2;22.095;;;0.001;510;0;23.01;
idle;39.35;0.80;41.93;0.80;38.08;0.80;;;;0.173;3845;2;8.534;;;0.001;125;0;20.02;
800000-threshold-15;42.72;0.80;43.80;0.80;41.15;0.80;;;;0.141;3806;2;21.656;;;0.001;162;0;22.53;
idle;39.16;0.80;41.22;0.80;38.04;0.80;;;;0.166;4088;2;8.375;;;0.001;111;0;20.01;
800000-threshold-20;42.86;0.80;44.00;0.80;41.08;0.80;;;;0.146;3782;2;21.644;;;0.001;231;0;22.92;
idle;39.31;0.80;40.95;0.80;38.04;0.80;;;;0.157;4088;2;8.445;;;0.001;117;0;20.02;
800000-threshold-25;43.02;0.80;43.84;0.80;41.02;0.80;;;;0.146;4118;2;21.863;;;0.002;622;0;22.56;
idle;39.26;0.80;42.81;0.80;38.25;0.80;;;;0.168;3500;2;8.566;;;0.001;116;0;20.01;
800000-threshold-30;42.75;0.80;43.58;0.80;41.16;0.80;;;;0.171;4436;2;21.650;;;0.002;808;0;22.80;
idle;38.96;0.80;40.50;0.80;37.67;0.80;;;;0.224;3843;2;8.029;;;0.001;114;0;20.01;
800000-threshold-35;43.55;0.80;47.21;0.80;41.54;0.80;;;;0.136;3875;2;24.055;;;0.001;175;0;22.96;
idle;39.60;0.80;44.34;0.80;38.22;0.80;;;;0.204;3780;2;9.229;;;0.001;304;0;20.01;
800000-threshold-40;42.95;0.80;44.43;0.80;41.19;0.80;;;;0.174;4824;2;21.993;;;0.002;792;0;22.59;
idle;39.08;0.80;40.97;0.80;37.59;0.80;;;;0.217;4251;2;8.388;;;0.001;110;0;20.01;
800000-threshold-45;42.84;0.80;44.60;0.80;41.17;0.80;;;;0.148;4574;2;22.083;;;0.002;730;0;22.59;
idle;38.92;0.80;40.67;0.80;37.28;0.80;;;;0.213;4168;2;8.071;;;0.001;134;0;20.02;
800000-threshold-50;42.93;0.80;44.75;0.80;41.18;0.80;;;;0.204;4909;2;22.036;;;0.002;601;0;22.70;
idle;39.21;0.80;40.40;0.80;37.69;0.80;;;;0.220;4463;2;8.360;;;0.000;106;0;20.02;
800000-threshold-55;42.84;0.80;43.55;0.80;41.19;0.80;;;;0.179;3975;2;21.137;;;0.002;497;0;23.22;
idle;39.21;0.80;40.83;0.80;37.99;0.80;;;;0.222;4499;2;8.370;;;0.001;136;0;20.02;
800000-threshold-60;42.74;0.80;43.55;0.80;41.13;0.80;;;;0.140;3853;2;21.262;;;0.002;704;0;23.27;
idle;39.05;0.80;40.11;0.80;37.80;0.80;;;;0.167;3908;2;8.126;;;0.001;123;0;20.02;
800000-threshold-65;42.89;0.80;44.03;0.80;41.08;0.80;;;;0.164;4952;2;22.322;;;0.002;623;0;23.17;
idle;38.92;0.80;39.80;0.80;38.23;0.80;;;;0.203;3664;2;8.287;;;0.001;134;0;20.01;
800000-threshold-70;42.71;0.80;43.47;0.80;40.93;0.80;;;;0.144;3793;2;21.215;;;0.001;476;0;23.74;
idle;39.06;0.80;40.50;0.80;37.92;0.80;;;;0.212;3836;2;8.255;;;0.001;105;0;20.01;
800000-threshold-75;42.79;0.80;43.55;0.80;41.36;0.80;;;;0.146;3980;2;21.407;;;0.001;151;0;23.72;
idle;41.86;0.80;44.41;0.80;39.60;0.80;;;;0.178;3799;2;14.452;;;0.001;194;0;20.02;
800000-threshold-80;43.36;0.80;44.44;0.80;42.33;0.80;;;;0.132;3817;2;24.206;;;0.002;593;0;22.75;
idle;39.17;0.80;40.61;0.80;37.39;0.80;;;;0.207;3841;2;8.159;;;0.001;127;0;20.00;
800000-threshold-85;43.01;0.80;43.65;0.80;41.68;0.80;;;;0.159;3966;2;21.965;;;0.001;162;0;22.29;
idle;39.22;0.80;40.88;0.80;37.61;0.80;;;;0.215;3741;2;8.381;;;0.001;117;0;20.02;
800000-threshold-90;42.68;0.80;43.64;0.80;41.21;0.80;;;;0.182;4872;2;21.568;;;0.002;789;0;22.74;
idle;39.24;0.80;42.43;0.80;38.09;0.80;;;;0.176;3525;2;8.509;;;0.001;96;0;20.01;
800000-threshold-95;42.98;0.80;44.40;0.80;41.16;0.80;;;;0.142;4259;2;21.973;;;0.001;612;0;22.58;
idle;39.03;0.80;39.87;0.80;38.08;0.80;;;;0.186;3694;2;7.982;;;0.001;164;0;20.02;
800000-threshold-100;42.80;0.80;43.57;0.80;41.01;0.80;;;;0.138;3962;2;21.312;;;0.001;473;0;23.15;
idle;39.38;0.80;40.87;0.80;37.88;0.80;;;;0.207;4122;2;8.475;;;0.001;118;0;20.01;
800000-threshold-105;42.92;0.80;43.92;0.80;40.98;0.80;;;;0.183;4484;2;22.172;;;0.001;212;0;22.45;
idle;39.05;0.80;40.17;0.80;37.70;0.80;;;;0.218;3837;2;8.060;;;0.001;105;0;20.01;
800000-threshold-110;42.85;0.80;43.74;0.80;41.05;0.80;;;;0.162;3712;2;21.991;;;0.001;123;0;22.59;
