Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time;
idle;40.13;0.80;43.47;0.80;38.55;0.80;;;;0.176;4198;2;9.065;;;0.001;104;0;20.01;
800000-threshold-0;44.98;0.80;47.56;0.80;43.15;0.80;;;;0.151;10503;2;29.756;;;0.002;2478;0;56.80;
idle;39.47;0.80;41.58;0.80;37.67;0.80;;;;0.199;3705;2;8.064;;;0.001;96;0;20.01;
800000-threshold-5;47.17;0.80;49.90;0.80;43.69;0.80;;;;0.114;7900;2;41.008;;;0.003;2692;0;38.82;
idle;39.40;0.80;41.39;0.80;37.87;0.80;;;;0.177;3979;2;8.354;;;0.001;102;0;20.02;
800000-threshold-10;46.47;0.80;47.80;0.80;43.54;0.80;;;;0.115;8878;2;39.331;;;0.004;3232;0;38.87;
idle;39.29;0.80;40.60;0.80;37.90;0.80;;;;0.216;3450;2;7.995;;;0.001;109;0;20.01;
800000-threshold-15;47.17;0.80;50.11;0.80;42.54;0.80;;;;0.116;6636;2;41.654;;;0.003;1856;0;37.38;
idle;39.50;0.80;40.46;0.80;38.69;0.80;;;;0.151;4054;2;8.221;;;0.001;102;0;20.02;
800000-threshold-20;46.70;0.80;49.99;0.80;43.28;0.80;;;;0.106;7286;2;39.265;;;0.003;2377;0;40.51;
idle;39.38;0.80;40.34;0.80;38.58;0.80;;;;0.209;3955;2;8.066;;;0.001;102;0;20.02;
800000-threshold-25;46.93;0.80;48.90;0.80;43.08;0.80;;;;0.116;7584;2;39.749;;;0.003;2563;0;40.87;
idle;39.36;0.80;40.58;0.80;38.42;0.80;;;;0.209;3761;2;8.194;;;0.001;130;0;20.02;
800000-threshold-30;44.91;0.80;47.33;0.80;43.16;0.80;;;;0.161;11018;2;30.672;;;0.002;2695;0;55.44;
idle;39.36;0.80;41.04;0.80;37.80;0.80;;;;0.221;3951;2;8.128;;;0.001;109;0;20.02;
800000-threshold-35;47.07;0.80;49.95;0.80;43.07;0.80;;;;0.145;7875;2;41.651;;;0.003;2262;0;37.41;
idle;39.43;0.80;40.64;0.80;38.13;0.80;;;;0.197;3729;2;7.980;;;0.001;104;0;20.02;
800000-threshold-40;47.00;0.80;49.68;0.80;43.27;0.80;;;;0.112;6871;2;42.076;;;0.003;2295;0;36.00;
idle;39.48;0.80;40.35;0.80;38.56;0.80;;;;0.153;3698;2;8.093;;;0.000;92;0;20.02;
800000-threshold-45;46.94;0.80;50.04;0.80;43.39;0.80;;;;0.122;7666;2;39.651;;;0.004;2812;0;39.95;
idle;39.66;0.80;40.64;0.80;38.55;0.80;;;;0.179;3728;2;8.249;;;0.000;89;0;20.02;
800000-threshold-50;47.08;0.80;49.85;0.80;42.52;0.80;;;;0.125;7396;2;42.078;;;0.003;2242;0;36.04;
idle;39.49;0.80;40.38;0.80;38.51;0.80;;;;0.170;3899;2;8.084;;;0.001;111;0;20.01;
800000-threshold-55;47.29;0.80;50.04;0.80;43.43;0.80;;;;0.140;7576;2;41.948;;;0.003;2249;0;37.46;
idle;39.62;0.80;40.91;0.80;38.90;0.80;;;;0.194;4064;2;8.301;;;0.001;122;0;20.02;
800000-threshold-60;46.64;0.80;47.42;0.80;43.67;0.80;;;;0.121;8064;2;40.099;;;0.003;3032;0;38.46;
idle;39.53;0.80;40.59;0.80;38.51;0.80;;;;0.221;4321;2;8.080;;;0.001;98;0;20.01;
800000-threshold-65;46.99;0.80;49.59;0.80;43.39;0.80;;;;0.130;7726;2;41.666;;;0.003;2590;0;37.58;
idle;39.62;0.80;41.06;0.80;38.45;0.80;;;;0.213;3662;2;8.223;;;0.001;96;0;20.02;
800000-threshold-70;46.69;0.80;49.90;0.80;42.20;0.80;;;;0.112;7350;2;39.598;;;0.003;2362;0;39.32;
idle;39.54;0.80;40.56;0.80;38.72;0.80;;;;0.246;4153;2;8.148;;;0.001;99;0;20.02;
800000-threshold-75;46.53;0.80;50.00;0.80;42.26;0.80;;;;0.152;7646;2;39.756;;;0.003;2357;0;39.48;
idle;39.42;0.80;40.45;0.80;38.44;0.80;;;;0.208;3602;2;8.174;;;0.001;109;0;20.02;
800000-threshold-80;46.87;0.80;49.75;0.80;43.14;0.80;;;;0.100;7422;2;40.805;;;0.003;2535;0;37.48;
idle;39.51;0.80;40.53;0.80;38.25;0.80;;;;0.204;3957;2;8.051;;;0.001;111;0;20.01;
800000-threshold-85;44.68;0.80;47.04;0.80;42.25;0.80;;;;0.128;11450;2;29.437;;;0.002;2832;0;61.49;
idle;39.51;0.80;40.61;0.80;38.75;0.80;;;;0.227;4328;2;8.070;;;0.001;130;0;20.02;
800000-threshold-90;46.99;0.80;50.18;0.80;43.35;0.80;;;;0.113;7548;2;41.380;;;0.003;2406;0;37.64;
idle;39.48;0.80;40.84;0.80;38.16;0.80;;;;0.216;4194;2;8.247;;;0.001;107;0;20.02;
800000-threshold-95;45.04;0.80;47.50;0.80;43.26;0.80;;;;0.138;11800;2;31.259;;;0.002;2400;0;54.50;
idle;39.49;0.80;40.79;0.80;37.93;0.80;;;;0.195;3987;2;8.189;;;0.001;107;0;20.02;
800000-threshold-100;44.98;0.80;47.61;0.80;43.37;0.80;;;;0.135;11919;2;30.855;;;0.002;3299;0;54.96;
idle;39.44;0.80;42.22;0.80;37.25;0.80;;;;0.187;4134;2;8.662;;;0.001;170;0;20.02;
800000-threshold-105;46.90;0.80;49.85;0.80;43.05;0.80;;;;0.141;7942;2;41.307;;;0.003;2402;0;37.54;
idle;39.65;0.80;41.52;0.80;38.80;0.80;;;;0.207;4122;2;8.461;;;0.001;110;0;20.02;
800000-threshold-110;46.88;0.80;49.03;0.80;43.74;0.80;;;;0.125;7863;2;40.094;;;0.003;2556;0;38.58;
idle;39.73;0.80;43.95;0.80;38.47;0.80;;;;0.183;3451;2;8.875;;;0.001;104;0;20.00;
800000-threshold-115;44.98;0.80;47.16;0.80;42.87;0.80;;;;0.136;12941;2;31.075;;;0.002;3258;0;55.11;
idle;39.55;0.80;42.03;0.80;38.11;0.80;;;;0.202;3871;2;8.025;;;0.001;111;0;20.02;
800000-threshold-120;43.77;0.80;44.90;0.80;42.03;0.80;;;;0.142;15083;2;24.514;;;0.002;3141;0;80.22;
idle;39.57;0.80;40.96;0.80;38.06;0.80;;;;0.221;4044;2;8.426;;;0.001;118;0;20.01;
800000-threshold-125;46.50;0.80;47.43;0.80;43.31;0.80;;;;0.143;8728;2;39.864;;;0.004;3246;0;37.65;
idle;39.64;0.80;42.11;0.80;37.44;0.80;;;;0.251;4354;2;8.633;;;0.001;131;0;20.02;
800000-threshold-130;46.60;0.80;49.63;0.80;43.06;0.80;;;;0.139;7229;2;39.977;;;0.003;2741;0;38.01;
idle;39.55;0.80;41.06;0.80;38.15;0.80;;;;0.235;4629;2;8.469;;;0.001;118;0;20.02;
800000-threshold-135;44.14;0.80;45.17;0.80;43.42;0.80;;;;0.199;17729;2;25.747;;;0.002;3181;0;73.65;
idle;39.92;0.80;41.08;0.80;38.14;0.80;;;;0.231;4644;2;8.805;;;0.001;136;0;20.01;
800000-threshold-140;44.72;0.80;47.07;0.80;43.05;0.80;;;;0.139;11860;2;30.295;;;0.002;2493;0;54.99;
idle;39.60;0.80;40.86;0.80;38.71;0.80;;;;0.172;3598;2;8.217;;;0.001;97;0;20.02;
800000-threshold-145;47.07;0.80;50.55;0.80;42.84;0.80;;;;0.134;7862;2;41.368;;;0.004;2614;0;36.52;
idle;39.64;0.80;40.82;0.80;38.59;0.80;;;;0.180;3949;2;8.131;;;0.001;250;0;20.02;
800000-threshold-150;44.89;0.80;47.58;0.80;43.09;0.80;;;;0.170;11114;2;29.695;;;0.002;2849;0;56.51;
idle;39.76;0.80;43.55;0.80;38.70;0.80;;;;0.206;3961;2;8.509;;;0.001;105;0;20.02;
800000-threshold-155;47.33;0.80;50.79;0.80;43.41;0.80;;;;0.148;7255;2;41.452;;;0.003;2122;0;34.92;
idle;39.83;0.80;41.13;0.80;38.27;0.80;;;;0.193;3660;2;8.446;;;0.001;104;0;20.02;
800000-threshold-160;46.68;0.80;47.71;0.80;42.66;0.80;;;;0.113;8503;2;39.299;;;0.004;3052;0;36.12;
idle;40.45;0.80;42.20;0.80;39.05;0.80;;;;0.213;4203;2;10.832;;;0.001;165;0;20.02;
800000-threshold-165;44.86;0.80;47.40;0.80;42.77;0.80;;;;0.141;10894;2;29.397;;;0.003;2869;0;56.85;
idle;39.58;0.80;41.63;0.80;37.45;0.80;;;;0.195;3661;2;8.101;;;0.001;107;0;20.02;
800000-threshold-170;45.21;0.80;47.69;0.80;43.52;0.80;;;;0.146;11786;2;31.158;;;0.002;2434;0;51.75;
idle;39.70;0.80;41.28;0.80;38.66;0.80;;;;0.165;3725;2;8.405;;;0.001;108;0;20.02;
800000-threshold-175;45.01;0.80;47.54;0.80;42.68;0.80;;;;0.131;11937;2;31.022;;;0.003;2483;0;51.20;
idle;39.65;0.80;40.74;0.80;38.13;0.80;;;;0.177;3780;2;8.149;;;0.001;103;0;20.02;
800000-threshold-180;44.02;0.80;44.87;0.80;43.07;0.80;;;;0.182;14222;2;25.743;;;0.002;2578;0;68.29;
idle;39.70;0.80;41.25;0.80;38.10;0.80;;;;0.190;3896;2;8.548;;;0.001;120;0;20.02;
800000-threshold-185;46.53;0.80;47.74;0.80;43.36;0.80;;;;0.133;8386;2;38.605;;;0.004;2597;0;35.57;
idle;39.88;0.80;44.56;0.80;37.87;0.80;;;;0.229;3847;2;9.002;;;0.001;124;0;20.02;
