Message;Average power(Watts);Average frecuenzy(GHz) ;Max power(Watts);Max frecuenzy(GHz) ;Min power(Watts);Min frecuenzy(GHz) ;C2 resident;C2 count;C2 latency;C1 resident;C1 count;C1 latency;C0 resident;C0 count;C0 latency;POLL resident;POLL count;POLL latency;time;
idle;39.87;0.80;42.15;0.80;38.36;0.80;;;;0.175;3987;2;8.395;;;0.001;105;0;20.02;
800000-threshold-0;45.52;0.80;47.98;0.80;43.55;0.80;;;;0.131;17710;2;31.718;;;0.001;2655;0;114.73;
idle;41.96;0.80;45.29;0.80;38.33;0.80;;;;0.150;4004;2;13.796;;;0.001;229;0;20.02;
800000-threshold-50;43.84;0.80;44.75;0.80;41.18;0.80;;;;0.141;27480;2;24.327;;;0.001;3831;0;162.77;
idle;39.45;0.80;41.30;0.80;37.66;0.80;;;;0.193;3738;2;8.082;;;0.001;310;0;20.02;
800000-threshold-100;45.57;0.80;48.28;0.80;42.57;0.80;;;;0.126;16869;2;33.156;;;0.002;2715;0;99.30;
idle;39.46;0.80;40.79;0.80;37.96;0.80;;;;0.192;4419;2;8.061;;;0.001;95;0;20.02;
800000-threshold-150;49.27;0.80;51.34;0.80;41.47;0.80;;;;0.098;5913;2;49.938;;;0.002;1736;0;57.16;
idle;39.77;0.80;42.94;0.80;38.80;0.80;;;;0.158;3662;2;8.556;;;0.000;80;0;20.02;
800000-threshold-0;45.54;0.80;47.34;0.80;42.30;0.80;;;;0.122;17402;2;32.745;;;0.002;2612;0;110.18;
idle;39.41;0.80;40.97;0.80;38.04;0.80;;;;0.206;3954;2;8.043;;;0.001;101;0;20.02;
800000-threshold-50;48.65;0.80;50.73;0.80;42.03;0.80;;;;0.077;6764;2;48.933;;;0.002;2191;0;61.48;
idle;39.46;0.80;41.08;0.80;37.58;0.80;;;;0.160;4021;2;8.464;;;0.001;128;0;20.02;
800000-threshold-100;45.55;0.80;47.74;0.80;42.35;0.80;;;;0.110;15693;2;31.952;;;0.002;3037;0;105.92;
idle;39.52;0.80;41.32;0.80;38.09;0.80;;;;0.174;4155;2;8.721;;;0.001;103;0;20.02;
800000-threshold-150;49.09;0.80;51.07;0.80;41.84;0.80;;;;0.111;6291;2;49.850;;;0.002;1893;0;56.25;
idle;39.47;0.80;40.85;0.80;38.87;0.80;;;;0.194;4228;2;8.222;;;0.001;122;0;20.02;
800000-threshold-0;45.16;0.80;47.42;0.80;41.03;0.80;;;;0.126;17956;2;31.571;;;0.001;2825;0;114.45;
idle;39.41;0.80;40.63;0.80;38.43;0.80;;;;0.175;3482;2;8.028;;;0.000;78;0;20.02;
800000-threshold-50;45.58;0.80;47.70;0.80;41.60;0.80;;;;0.110;15953;2;33.051;;;0.001;2509;0;104.62;
idle;39.45;0.80;41.00;0.80;38.13;0.80;;;;0.179;3732;2;8.056;;;0.000;74;0;20.02;
800000-threshold-100;45.56;0.80;47.88;0.80;41.37;0.80;;;;0.114;16165;2;32.662;;;0.001;2325;0;104.31;
idle;39.44;0.80;40.67;0.80;38.39;0.80;;;;0.160;3813;2;8.458;;;0.001;113;0;20.01;
800000-threshold-150;45.62;0.80;48.00;0.80;41.54;0.80;;;;0.141;17729;2;33.396;;;0.002;3515;0;95.79;
